timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance	oob_percentage
0	(12.658464431762695, 8.216024398803711, -28)	(0.9964986443519592, 0.08360876142978668, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	1.9671270666522922	0.025696007593165482
0.06675000116229057	(12.658332824707031, 8.21619987487793, -27.993223190307617)	(0.9964836835861206, 0.08377641439437866, -0.0013712584041059017)	(0.013747685588896275, -0.0030824909918010235, 0.1378869265317917)	-20.099181906528184	0.048587100789966156	0	0	0.5	0.5	0.006202513966249228	0	False	0	0	1.9669452169228407	0.02579992080911797
0.15000000223517418	(12.666447639465332, 8.2171630859375, -27.980607986450195)	(0.9964573383331299, 0.08406613022089005, -0.002342244377359748)	(0.21526411175727844, 0.05651727318763733, 0.1933365911245346)	-42.34404007577125	0.09107998235119254	0	0	0.2113001189674631	0.2113001189674631	0.1788164837264008	1	False	0	0	1.966389801143134	0.02411814994710515
0.23325000330805779	(12.693503379821777, 8.225408554077148, -27.958059310913086)	(0.9961650967597961, 0.08749325573444366, -0.00038757381844334304)	(0.23215721547603607, 0.06436219811439514, 0.42887747287750244)	-61.84648921788201	0.12839129426355594	0	0	0.2510711119932203	0.2510711119932203	0.22724314885039024	2	False	0	0	1.9595102928164836	0.018341975989674797
0.31675000488758087	(12.703363418579102, 8.226466178894043, -27.93207550048828)	(0.9960873126983643, 0.08834092319011688, -0.00241693202406168)	(0.0865117534995079, 0.0031457161530852318, 0.1615462750196457)	-78.96103990740467	0.15655869034969866	0	0	0.4667502962123893	0.4667502962123893	0.13997949228966208	1	False	0	0	1.9589480247402726	0.016375262758153708
0.4000000059604645	(12.71426773071289, 8.226569175720215, -27.916584014892578)	(0.9961980581283569, 0.0870799571275711, -0.0025391618255525827)	(0.1821107566356659, -0.0038750579115003347, 0.19703039526939392)	-79.83221251000258	0.15625579927054353	0	0	0.6239332220164919	0.6239332220164919	0.2176249556764856	1	False	0	0	1.959391508020173	0.01396597715940695
0.4832500070333481	(12.733749389648438, 8.22676944732666, -27.900856018066406)	(0.996242105960846, 0.08660493046045303, -0.0011068613966926932)	(0.2622377872467041, 0.010365164838731289, 0.2092716544866562)	-79.30772845530011	0.15521655935294312	0	0	0.7157770341599435	0.7157770341599435	0.34116341474267053	1	False	0	0	1.9601675989360285	0.009703155598744795
0.5667500086128712	(12.756098747253418, 8.227886199951172, -27.88169288635254)	(0.9963152408599854, 0.08576631546020508, -0.00031603866955265403)	(0.27344468235969543, 0.01049325056374073, 0.23393236100673676)	-78.38952499908329	0.1531413412079384	0	0	0.8318762702659274	0.8318762702659274	0.3175589788198994	1	False	0	0	1.9601720433932142	0.0048174110975574
0.6500000096857548	(12.778791427612305, 8.22879409790039, -27.862150192260742)	(0.9963685870170593, 0.08513841778039932, -0.0011396349873393774)	(0.2752111554145813, 0.008786555379629135, 0.22935207188129425)	-76.95821847027838	0.15048125253773204	0	0	0.9639669091035646	0.9639669091035646	0.34932337284779125	1	False	0	0	1.9604022820818798	6.299612736793136e-05
0.7332500107586384	(12.803303718566895, 8.229300498962402, -27.843347549438477)	(0.9964231848716736, 0.08448968082666397, -0.0015527409268543124)	(0.33315417170524597, 0.008410243317484856, 0.22821488976478577)	-75.87486253884036	0.14817613104513433	0	0	1	1	0.41256512491577907	1	False	0	0	1.96112468332867	0.0
0.8167500123381615	(12.837159156799316, 8.23030948638916, -27.824636459350586)	(0.9965699911117554, 0.08275417983531952, -6.567736272700131e-05)	(0.4957944452762604, 0.014678895473480225, 0.2225322276353836)	-74.05723161215093	0.14442991454881715	0	0	1	1	0.5787862791030762	2	False	0	0	1.9618132594413478	0.0
0.9000000134110451	(12.887685775756836, 8.23183536529541, -27.80552864074707)	(0.9967002272605896, 0.08113701641559601, 0.002331953961402178)	(0.7115378975868225, 0.022843820974230766, 0.2453186810016632)	-72.26910110479031	0.14118906419978913	0	0	1	1	0.8553689282566747	3	False	0	0	1.962820887790714	0.0
0.9832500144839287	(12.958964347839355, 8.234237670898438, -27.782615661621094)	(0.9968464970588684, 0.07926107197999954, 0.003855583257973194)	(1.0245121717453003, 0.028582638129591942, 0.32271966338157654)	-71.07329666563263	0.13884831954543211	0	0	1	1	1.4835016341513705	4	False	0	0	1.963992948162533	0.0
1.0667500160634518	(13.061957359313965, 8.236741065979004, -27.75829315185547)	(0.9970943331718445, 0.07558033615350723, 0.009518594481050968)	(1.390436053276062, 0.021065909415483475, 0.1908411681652069)	-69.33483210388167	0.13539516223589246	0	0	0.5063282599738196	0.5063282599738196	3.488867094430339	5	False	0	0	1.9666530694578575	0.0
1.1500000171363354	(13.200515747070312, 8.242395401000977, -27.753023147583008)	(0.9973662495613098, 0.07158780097961426, 0.011649767868220806)	(1.857595682144165, 0.057128194719552994, 0.053351741284132004)	-67.7486456745296	0.13257747344649268	0	0	0.3610191391175156	0.3610191391175156	3.6710807123074045	7	False	0	0	1.9670333150715276	0.0
1.233250018209219	(13.379379272460938, 8.247344017028809, -27.75469970703125)	(0.9976891279220581, 0.06671103835105896, 0.012885603122413158)	(2.3724660873413086, 0.08060801029205322, -0.03009345941245556)	-66.59283916238249	0.13020030866630325	0	0	0.17990264201422182	0.17990264201422182	2.8872994388300515	9	False	0	0	1.9684304565240565	0.0
1.316750019788742	(13.59591007232666, 8.252391815185547, -27.75666618347168)	(0.9981159567832947, 0.06000439077615738, 0.012810220941901207)	(2.8336923122406006, 0.03564078360795975, -0.004288883414119482)	-64.25296317311194	0.1252343565505305	0	0	0.478823930739824	0.478823930739824	3.4800712021406657	10	False	0	0	1.9710641902154382	0.0
1.4000000208616257	(13.854594230651855, 8.257844924926758, -27.75840950012207)	(0.9984971284866333, 0.05297551304101944, 0.014035090804100037)	(3.3750617504119873, 0.041618987917900085, 0.0029529088642448187)	-62.34971576812208	0.12168788000505643	0	0	0.30612502035464356	0.30612502035464356	3.56971039113811	12	False	0	0	1.974787659387734	0.0
1.4832500219345093	(14.154144287109375, 8.261176109313965, -27.75876235961914)	(0.9988458752632141, 0.0455569289624691, 0.01521362829953432)	(3.8146650791168213, 0.013327949680387974, -0.029669536277651787)	-60.866824116095984	0.11877709573714071	0	0	0.06763181369358326	0.06763181369358326	3.811209785705345	14	False	0	0	1.9817727728937675	0.0
1.5667500235140324	(14.475663185119629, 8.262513160705566, -27.761079788208008)	(0.9992280006408691, 0.03743438795208931, 0.011916144751012325)	(3.864814281463623, 0.008799665607511997, -0.051280535757541656)	-59.08475257129919	0.11503384601186899	0	0	0.10496850282793349	0.10496850282793349	3.865174572738405	14	False	0	0	1.9874369583917586	0.0
1.650000024586916	(14.800665855407715, 8.261293411254883, -27.76365089416504)	(0.9995454549789429, 0.029543215408921242, 0.006010045763105154)	(4.030543804168701, -0.054150212556123734, -0.01470691617578268)	-57.2697756910779	0.11150460498943082	0	0	0.1273339209108482	0.1273339209108482	4.158017704969004	15	False	0	0	1.9957331960039044	0.0
1.7332500256597996	(15.14855670928955, 8.258088111877441, -27.764375686645508)	(0.9997621178627014, 0.021246453747153282, 0.0049219680950045586)	(4.262521266937256, -0.059306684881448746, -0.012920079752802849)	-55.513964067237595	0.1080732186355368	0	0	0.11038158546456894	0.11038158546456894	4.335914194851496	15	False	0	0	1.9938287471711904	0.0
1.8167500272393227	(15.507214546203613, 8.252459526062012, -27.76532554626465)	(0.9999104738235474, 0.013145232573151588, 0.002492158208042383)	(4.382289409637451, -0.10619187355041504, -0.01054906565696001)	-53.889815383466456	0.10532131880806131	0	0	0.15981952360465912	0.15981952360465912	4.516080669694348	16	False	0	0	1.9853443469036762	0.0
1.9000000283122063	(15.884964942932129, 8.244061470031738, -27.765287399291992)	(0.9999855160713196, 0.00488367211073637, 0.0022833894472569227)	(4.650592803955078, -0.12265199422836304, -0.012670207768678665)	-52.573491595479176	0.10275849661565964	0	0	0.12804611500192706	0.12804611500192706	4.658662653772723	17	False	0	0	1.9739385301447272	0.0
1.9832500293850899	(16.27738380432129, 8.232367515563965, -27.76533317565918)	(0.9999925494194031, -0.003434210317209363, 0.0017177961999550462)	(4.78644323348999, -0.17899711430072784, -0.017514115199446678)	-51.385222600387834	0.10051357908275191	0	0	0.16660873003037288	0.16660873003037288	4.845305174761134	17	False	0	0	1.9606494024949772	0.0
2.066750030964613	(16.686229705810547, 8.21689510345459, -27.765167236328125)	(0.99992835521698, -0.011869759298861027, 0.0015104906633496284)	(5.0413312911987305, -0.23296856880187988, 0.023529676720499992)	-50.22701494361906	0.0979661009521965	0	0	0.15361940124871054	0.15361940124871054	5.156777826564626	18	False	0	0	1.9459242330079014	0.0
2.1500000320374966	(17.114032745361328, 8.197402000427246, -27.765018463134766)	(0.9997864365577698, -0.020602069795131683, 0.0016153077594935894)	(5.1939616203308105, -0.2540767192840576, -0.002779441187158227)	-48.67645788874182	0.09466952109455326	0	0	0.1717204131476709	0.1717204131476709	5.284459974772305	19	False	0	0	1.9272271000633807	0.0
2.23325003311038	(17.556392669677734, 8.174141883850098, -27.765201568603516)	(0.9995731711387634, -0.029183903709053993, 0.0013370153028517962)	(5.4440016746521, -0.3120877146720886, -0.007356485817581415)	-46.73745351282504	0.09083205138774128	0	0	0.16746019487329195	0.16746019487329195	5.63482130766919	20	False	0	0	1.910042482941921	0.0
2.3167500346899033	(18.0165958404541, 8.146285057067871, -27.765079498291016)	(0.9992822408676147, -0.037844013422727585, 0.0016959637869149446)	(5.612151622772217, -0.3402126431465149, -0.011948565021157265)	-44.43063525165054	0.08610747078909955	0	0	0.17641763919294345	0.17641763919294345	5.6623923079544	20	False	0	0	1.8885065647536425	0.0
2.400000035762787	(18.494346618652344, 8.114377975463867, -27.76531410217285)	(0.9989259839057922, -0.04630512744188309, 0.0016582626849412918)	(5.815797805786133, -0.4182056784629822, 0.0063551622442901134)	-41.5850902459665	0.08024992625822279	0	0	0.20003659719193667	0.20003659719193667	5.978870672264966	21	False	0	0	1.8662026813489014	0.0
2.4832500368356705	(18.98839569091797, 8.078364372253418, -27.765439987182617)	(0.9985232949256897, -0.05429721996188164, 0.0017524936702102423)	(6.036612510681152, -0.4508326053619385, -0.018166378140449524)	-38.155002227532236	0.07334026954175528	0	0	0.2151093328971382	0.2151093328971382	6.2015380778750355	22	False	0	0	1.8408905071117383	0.0
2.5667500384151936	(19.49989891052246, 8.038405418395996, -27.765483856201172)	(0.9980849623680115, -0.061827950179576874, 0.0019183274125680327)	(6.254453659057617, -0.4939318895339966, -0.019875649362802505)	-34.11735798931835	0.06503163399370405	0	0	0.2200287296538869	0.2200287296538869	6.330937587894082	23	False	0	0	1.814714879979237	0.0
2.650000039488077	(20.030460357666016, 7.994304180145264, -27.765493392944336)	(0.9976160526275635, -0.06897878646850586, 0.002000834560021758)	(6.449807167053223, -0.5527907013893127, -0.001574148889631033)	-29.01171686966009	0.054542036736660963	0	0	0.21967968433275833	0.21967968433275833	6.47651318428118	23	False	0	0	1.7857735269575237	0.0
2.7332500405609608	(20.576431274414062, 7.946694850921631, -27.765514373779297)	(0.9971610903739929, -0.07527585327625275, 0.0017919180681928992)	(6.652134895324707, -0.6052043437957764, -0.010401306673884392)	-22.48615363640195	0.041317179906473586	0	0	0.1837959225942815	0.1837959225942815	6.762216104519511	24	False	0	0	1.7570622781679335	0.0
2.816750042140484	(21.139352798461914, 7.896758079528809, -27.765422821044922)	(0.9967548847198486, -0.08048291504383087, 0.0014560825657099485)	(6.8655290603637695, -0.5855453610420227, -0.004220919217914343)	-15.552127039352731	0.027777468999302054	0	0	0.19165720371941095	0.19165720371941095	7.107313650553221	25	False	0	0	1.7273255004710508	0.0
2.9000000432133675	(21.721240997314453, 7.844351291656494, -27.765275955200195)	(0.9964509010314941, -0.08416648954153061, 0.001279881107620895)	(7.070662498474121, -0.6674678325653076, 0.02087033912539482)	-8.941136841050476	0.014933399649433616	0	0	0.19134773210732467	0.19134773210732467	7.142281479435742	26	False	0	0	1.69848435376055	0.0
