timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance	oob_percentage
0	(12.662117958068848, 8.221481323242188, -28)	(0.9963250756263733, 0.08565222471952438, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	1.9659677940574056	0.025695744987186853
0.06675000116229057	(12.661982536315918, 8.221652030944824, -27.993228912353516)	(0.9963101148605347, 0.08581501245498657, -0.0013727175537496805)	(0.013709432445466518, -0.0031594354659318924, 0.13759243488311768)	-19.635702649297556	0.04744914756742069	0	0	0.5	0.5	0.006736138359617713	0	False	0	0	1.9657903144918822	0.02580022229753931
0.15000000223517418	(12.67007827758789, 8.222579002380371, -27.980602264404297)	(0.9962860345840454, 0.08607365190982819, -0.0023377137258648872)	(0.21417194604873657, 0.05451560392975807, 0.19354142248630524)	-41.00877744967344	0.08794740980681995	0	0	0.24777443645552577	0.24777443645552577	0.18074735659607905	1	False	0	0	1.9652830587237087	0.024120811671916265
0.23325000330805779	(12.697078704833984, 8.230618476867676, -27.957965850830078)	(0.9960006475448608, 0.0893455222249031, -0.000366012507583946)	(0.23520053923130035, 0.061612773686647415, 0.4296141266822815)	-59.02934083033635	0.12226416858256933	0	0	0.30800874277127044	0.30800874277127044	0.24101336917964747	2	False	0	0	1.9586500092687569	0.01834617872565736
0.31675000488758087	(12.707540512084961, 8.230927467346191, -27.931392669677734)	(0.9959520697593689, 0.08985742926597595, -0.0022405872587114573)	(0.09052404016256332, -0.008503411896526814, 0.17171339690685272)	-64.46474813396387	0.1259445183285778	0	0	0.5396590792533356	0.5396590792533356	0.15026203679655653	1	False	0	0	1.9588822124576257	0.016234082776786174
0.4000000059604645	(12.71842098236084, 8.231215476989746, -27.915815353393555)	(0.9961066842079163, 0.0881212055683136, -0.0024816098157316446)	(0.17983634769916534, 0.0013327531050890684, 0.19664964079856873)	-62.55569790732206	0.12200451099321664	0	0	0.7235224164500349	0.7235224164500349	0.21614992671415656	1	False	0	0	1.9591570095155635	0.013799482767391402
0.4832500070333481	(12.737698554992676, 8.231331825256348, -27.899967193603516)	(0.996135950088501, 0.08781962841749191, -0.0010469666449353099)	(0.25946617126464844, 0.002510331105440855, 0.20912611484527588)	-61.63130013510502	0.12060056272186756	0	0	0.835733636375732	0.835733636375732	0.3501304452127703	1	False	0	0	1.9600372925245293	0.009593922443764002
0.5667500086128712	(12.760111808776855, 8.232305526733398, -27.88104248046875)	(0.9961982369422913, 0.08711428940296173, -0.00025212010950781405)	(0.2753877639770508, 0.017947345972061157, 0.23059436678886414)	-61.04942448086315	0.11937976389167873	0	0	0.9710330343820961	0.9710330343820961	0.33247218995843125	1	False	0	0	1.9602234547800197	0.00470626601132762
0.6500000096857548	(12.783802032470703, 8.23382568359375, -27.86099624633789)	(0.9962530136108398, 0.08648180961608887, -0.0009459932916797698)	(0.3037215769290924, 0.0142288226634264, 0.24504640698432922)	-60.35927896238717	0.11836193208785092	0	0	1	1	0.38978956001963533	1	False	0	0	1.959929899959202	0.0
0.7332500107586384	(12.812308311462402, 8.234888076782227, -27.840360641479492)	(0.9962756037712097, 0.08622212707996368, -0.0008170953951776028)	(0.3952363133430481, 0.013046566396951675, 0.25474491715431213)	-60.50077565389101	0.1185600746610446	0	0	1	1	0.4846512338249386	2	False	0	0	1.9603424432359298	0.0
